wavelength,red,green,blue
400.0,0.0,0.0,0.0
410.0,0.0,0.0,0.03
420.0,0.05,0.02,0.38
430.0,0.07,0.04,0.7
440.0,0.05,0.06,0.87
450.0,0.04,0.09,1.04
460.0,0.03,0.13,1.02
470.0,0.04,0.26,1.01
480.0,0.04,0.39,0.9
490.0,0.04,0.43,0.78
500.0,0.04,0.6,0.56
510.0,0.04,0.81,0.32
520.0,0.07,0.98,0.17
530.0,0.08,1.07,0.07
540.0,0.05,1.06,0.04
550.0,0.03,1.0,0.02
560.0,0.03,0.87,0.01
570.0,0.09,0.68,0.01
580.0,0.48,0.48,0.0
590.0,0.76,0.33,0.0
600.0,0.74,0.15,0.0
610.0,0.64,0.07,0.0
620.0,0.54,0.03,0.0
630.0,0.44,0.02,0.0
640.0,0.35,0.01,0.0
650.0,0.25,0.01,0.0
660.0,0.2,0.01,0.0
670.0,0.11,0.0,0.0
680.0,0.04,0.0,0.0
690.0,0.01,0.0,0.0
700.0,0.0,0.0,0.0
